service_category,name,address,city_town,province_territory,postal_code,phone_1,phone_2,phone_3,website,coverage_area,hours_call,hours_sms,hours_chat,description,latitude,longitude
Crisis Lines: International,Quebec City Crisis Services,656 Queen St E,Quebec City,Quebec,M9X 0Y4,,811,911,https://crisisservices70.ca,Quebec City,24/7,,,Trained volunteers offer emotional support and connect callers with community resources.,46.897,-71.0334
Poison Control,Edmonton Wellness Line,218 King St W,Edmonton,Alberta,S4B 0N2,,1-800-668-6868,,https://wellnessline82.ca,Canada-wide,,,,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",53.9021,-113.341
211 and Other Resource Databases,Victoria Mental Health Line,2395 Broadway Ave,Victoria,British Columbia,S2B 4P0,1 (866) 585-0445,,,https://mentalhealthline19.ca,British Columbia,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00","Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",48.7201,-122.9846
211 and Other Resource Databases,Calgary Youth Crisis Line,,Calgary,Alberta,,988,1-833-456-4566,,https://youthcrisisline43.ca,Alberta,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00","Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,50.9244,-113.8155
211 and Other Resource Databases,Winnipeg Hope Network,1642 Barrington St,Winnipeg,Manitoba,C4P 8R8,,,,https://hopenetwork36.ca,Winnipeg,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,"Information and referral service connecting residents to social, health, and government programs.",49.8428,-96.9556
Poison Control,Montreal Youth Crisis Line,,Montreal,Quebec,,1-833-456-4566,,,https://youthcrisisline74.ca,Quebec,,,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",Trained volunteers offer emotional support and connect callers with community resources.,45.4469,-73.2083
Crisis Lines: National,Montreal Crisis Intervention Team,520 Jasper Ave,Montreal,Quebec,M6N 6M8,911,,,https://crisisinterventionteam65.ca,Canada-wide,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",45.345,-73.7993
Crisis Lines: National,Yellowknife Crisis Intervention Team,1821 Granville St,Yellowknife,Northwest Territories,V2C 4X9,1 (866) 585-0445,,1-833-456-4566,https://crisisinterventionteam66.ca,Yellowknife,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,"Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",62.8411,-114.2828
Crisis Lines: Provincial/Territorial,Hamilton Family Resource Centre,2367 Granville St,Hamilton,Ontario,R7R 3G0,811,1-833-456-4566,,https://familyresourcecentre92.ca,Canada-wide,24/7,24/7,,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,43.3898,-79.4808
Mobile Crisis Teams,Iqaluit Support Services,2077 Water St,Iqaluit,Nunavut,T2V 7L3,Toll-free: 1-800-265-3333; TTY: 1-866-323-4408,,,https://supportservices71.ca,Canada-wide,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,,Trained volunteers offer emotional support and connect callers with community resources.,63.5343,-68.6483
Child Protection Services,Whitehorse Crisis Services,,Whitehorse,Yukon,,911,811,,https://crisisservices50.ca,Whitehorse,,24/7,,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,60.6328,-134.841
Crisis Lines: Provincial/Territorial,Toronto Crisis Intervention Team,1450 Jasper Ave,Toronto,Ontario,R6Y 8K7,1-833-456-4566,,,https://crisisinterventionteam97.ca,Canada-wide,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00","Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00","Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",44.0378,-79.3559
211 and Other Resource Databases,Halifax Crisis Intervention Team,,Halifax,Nova Scotia,,911,911,,https://crisisinterventionteam55.ca,Canada-wide,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,44.4714,-63.2142
811 and Health Information,Fredericton Wellness Line,2219 Main St,Fredericton,New Brunswick,K1B 0K3,211,1-833-456-4566,,https://wellnessline45.ca,New Brunswick,,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",46.0483,-66.2721
Crisis Lines: Local,Vancouver Community Helpline,,Vancouver,British Columbia,,1-800-668-6868,,988,https://communityhelpline4.ca,Canada-wide,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,48.9642,-122.9027
211 and Other Resource Databases,Iqaluit Crisis Services,1764 Barrington St,Iqaluit,Nunavut,X5A 6V1,,,,https://crisisservices9.ca,Canada-wide,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Information and referral service connecting residents to social, health, and government programs.",63.9933,-68.4865
Crisis Lines: Provincial/Territorial,Charlottetown Family Resource Centre,1109 Barrington St,Charlottetown,Prince Edward Island,C4T 3T9,416-408-4357,1 (866) 585-0445,,https://familyresourcecentre32.ca,Charlottetown,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,46.0619,-63.0542
211 and Other Resource Databases,Regina Mental Health Line,792 King St W,Regina,Saskatchewan,S7Y 3V7,1-866-925-4419,811,,https://mentalhealthline31.ca,Canada-wide,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,50.488,-104.7439
Crisis Lines: National,Whitehorse Support Services,1119 Jasper Ave,Whitehorse,Yukon,K1J 5E8,,911,,https://supportservices33.ca,Canada-wide,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",60.9873,-135.2198
Crisis Lines: Local,Quebec City Community Helpline,,Quebec City,Quebec,,911,,604-872-3311,https://communityhelpline69.ca,Quebec City,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",46.8724,-71.232
Child Protection Services,Moncton Support Services,1044 Queen St E,Moncton,New Brunswick,C6V 1B2,911,1-800-668-6868,,https://supportservices15.ca,Various communities across Canada,24/7,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,"Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",46.3084,-64.8739
Crisis Lines: Provincial/Territorial,Moncton Wellness Line,256 Spring Garden Rd,Moncton,New Brunswick,E3J 4C2,1-833-456-4566,,,https://wellnessline95.ca,New Brunswick,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",45.873,-64.6126
Crisis Lines: International,Moncton Crisis Services,820 Water St,Moncton,New Brunswick,Y3G 4G1,,,,https://crisisservices15.ca,Moncton,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",Trained volunteers offer emotional support and connect callers with community resources.,46.0882,-64.7832
211 and Other Resource Databases,Hamilton Crisis Intervention Team,1330 Spring Garden Rd,Hamilton,Ontario,A1K 9A4,416-408-4357,,,https://crisisinterventionteam33.ca,Canada-wide,,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,"Information and referral service connecting residents to social, health, and government programs.",43.2044,-79.6197
Crisis Lines: National,Hamilton Family Resource Centre,1325 King St W,Hamilton,Ontario,N6V 4R8,211,,,https://familyresourcecentre21.ca,Hamilton,24/7,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",24/7,"Information and referral service connecting residents to social, health, and government programs.",43.2253,-80.2277
Mobile Crisis Teams,St. John's Support Services,221 Granville St,St. John's,Newfoundland and Labrador,Y2M 7V1,211,416-408-4357,,https://supportservices35.ca,Various communities across Canada,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,,"Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",47.9553,-52.3823
Child Protection Services,Moncton Crisis Services,1205 Broadway Ave,Moncton,New Brunswick,L6V 7K7,604-872-3311,,,https://crisisservices91.ca,Various communities across Canada,24/7,,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",Trained volunteers offer emotional support and connect callers with community resources.,46.4352,-64.772
Crisis Lines: Local,Toronto Wellness Line,2385 Queen St E,Toronto,Ontario,T8V 5N8,604-872-3311,,1-833-456-4566,https://wellnessline20.ca,Various communities across Canada,,,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00","Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",43.5077,-79.4048
Child Protection Services,Halifax Youth Crisis Line,161 Portage Ave,Halifax,Nova Scotia,N1T 1X7,211,988,911,https://youthcrisisline65.ca,Nova Scotia,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,44.7687,-63.2938
Crisis Lines: National,Whitehorse Youth Crisis Line,2008 Broadway Ave,Whitehorse,Yukon,C3M 3C6,811,811,,https://youthcrisisline5.ca,Whitehorse,24/7,,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",Trained volunteers offer emotional support and connect callers with community resources.,60.6211,-135.3403
Child Protection Services,St. John's Youth Crisis Line,,St. John's,Newfoundland and Labrador,,416-408-4357,416-408-4357,,https://youthcrisisline11.ca,Canada-wide,,,,Trained volunteers offer emotional support and connect callers with community resources.,47.5292,-52.5791
Poison Control,Moncton Wellness Line,,Moncton,New Brunswick,,1 (866) 585-0445,1-800-668-6868,,https://wellnessline57.ca,Canada-wide,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,46.3705,-65.0929
Crisis Lines: National,Halifax Crisis Intervention Team,1219 Main St,Halifax,Nova Scotia,R4A 9B9,1-866-925-4419,1-800-668-6868,,https://crisisinterventionteam85.ca,Various communities across Canada,,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,Trained volunteers offer emotional support and connect callers with community resources.,44.791,-63.3985
211 and Other Resource Databases,Victoria Crisis Services,1815 Main St,Victoria,British Columbia,P2C 4N6,911,,,https://crisisservices75.ca,Victoria,,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,48.8023,-123.5295
Mobile Crisis Teams,Montreal Crisis Services,586 Granville St,Montreal,Quebec,R8P 1R0,1-800-668-6868,,,https://crisisservices87.ca,Montreal,,,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",45.6418,-73.5902
Crisis Lines: National,Iqaluit Mental Health Line,916 King St W,Iqaluit,Nunavut,T4S 1G0,211,,,https://mentalhealthline82.ca,Nunavut,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,Trained volunteers offer emotional support and connect callers with community resources.,63.8831,-68.3225
Child Protection Services,Whitehorse Youth Crisis Line,415 Queen St E,Whitehorse,Yukon,S4B 5J7,1-866-925-4419,1 (866) 585-0445,,https://youthcrisisline79.ca,Whitehorse,,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,Trained volunteers offer emotional support and connect callers with community resources.,60.473,-135.3591
Crisis Lines: International,Moncton Crisis Services,97 Main St,Moncton,New Brunswick,K2J 1Y3,416-408-4357,,1 (866) 585-0445,https://crisisservices43.ca,Various communities across Canada,,,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",46.12,-64.5394
Child Protection Services,Vancouver Distress Centre,,Vancouver,British Columbia,,416-408-4357,,,https://distresscentre31.ca,British Columbia,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",49.2637,-122.8983
811 and Health Information,St. John's Crisis Intervention Team,917 Spring Garden Rd,St. John's,Newfoundland and Labrador,X4T 0B7,988,,,https://crisisinterventionteam6.ca,Canada-wide,24/7,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",24/7,"Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",47.3815,-52.6061
Crisis Lines: Provincial/Territorial,Whitehorse Support Services,2183 Jasper Ave,Whitehorse,Yukon,X9S 1E8,1-833-456-4566,,988,https://supportservices59.ca,Whitehorse,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,60.5712,-135.2529
811 and Health Information,Victoria Family Resource Centre,,Victoria,British Columbia,,811,,,https://familyresourcecentre11.ca,Victoria,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,,,48.2921,-123.6678
211 and Other Resource Databases,Quebec City Youth Crisis Line,1289 Barrington St,Quebec City,Quebec,X3G 7K1,1 (866) 585-0445,1 (866) 585-0445,,https://youthcrisisline14.ca,Quebec City,,,,"Information and referral service connecting residents to social, health, and government programs.",47.1927,-70.9528
211 and Other Resource Databases,Iqaluit Mental Health Line,1105 Main St,Iqaluit,Nunavut,L4N 5A2,911,,,https://mentalhealthline24.ca,Various communities across Canada,24/7,,,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,63.6826,-68.6443
Crisis Lines: National,Quebec City Wellness Line,2334 Spring Garden Rd,Quebec City,Quebec,B2H 9B1,1-800-668-6868,,,https://wellnessline11.ca,Canada-wide,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,24/7,Trained volunteers offer emotional support and connect callers with community resources.,46.757,-71.3809
Poison Control,Yellowknife Family Resource Centre,196 Granville St,Yellowknife,Northwest Territories,B0J 4J2,1-800-668-6868,,,https://familyresourcecentre51.ca,Canada-wide,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,,"Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",62.4542,-114.1051
Crisis Lines: Provincial/Territorial,Quebec City Crisis Services,183 Water St,Quebec City,Quebec,T1N 9S9,988,988,,https://crisisservices3.ca,Canada-wide,24/7,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,47.0787,-70.8717
811 and Health Information,Hamilton Youth Crisis Line,,Hamilton,Ontario,,988,,,https://youthcrisisline76.ca,Hamilton,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,24/7,"Information and referral service connecting residents to social, health, and government programs.",43.3623,-79.8466
Crisis Lines: National,Edmonton Support Services,614 Granville St,Edmonton,Alberta,G4J 2G1,911,Toll-free: 1-800-265-3333; TTY: 1-866-323-4408,,https://supportservices14.ca,Canada-wide,,,,Trained volunteers offer emotional support and connect callers with community resources.,53.2669,-113.8392
Crisis Lines: Local,Moncton Wellness Line,1451 Broadway Ave,Moncton,New Brunswick,M7T 0B5,1-800-668-6868,,811,https://wellnessline10.ca,Canada-wide,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",24/7,,"Information and referral service connecting residents to social, health, and government programs.",46.2093,-64.921
Child Protection Services,Charlottetown Mental Health Line,1855 King St W,Charlottetown,Prince Edward Island,C8H 0K7,1-866-925-4419,,,https://mentalhealthline44.ca,Charlottetown,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,Trained volunteers offer emotional support and connect callers with community resources.,46.3813,-63.4892
Crisis Lines: National,Montreal Crisis Services,,Montreal,Quebec,,988,,,https://crisisservices87.ca,Various communities across Canada,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",Trained volunteers offer emotional support and connect callers with community resources.,45.8761,-73.4086
811 and Health Information,Halifax Community Helpline,1552 Barrington St,Halifax,Nova Scotia,X1S 8P0,1 (866) 585-0445,,1 (866) 585-0445,https://communityhelpline17.ca,Canada-wide,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",44.4854,-63.3447
Poison Control,St. John's Mental Health Line,,St. John's,Newfoundland and Labrador,,416-408-4357,,,https://mentalhealthline44.ca,Various communities across Canada,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,47.1965,-52.8212
